unique_id,power_plant_name,country,country_iso3c,bri_country,region,subregion,province,city,installed_capacity,commissioning_year,primary_fuel,latitude,longitude,duplicate_power_plant,investment_type,investment_cofinanced_bu,debt_investment_averaged,debt_investment_weighted,equity_investment_weighted,total_investment_amount,equity_investor_name_1,equity_investor_amount_1,equity_investor_name_2,equity_investor_amount_2,equity_investment_type,equity_investment_year,parent_company_of_investor,SOE_or_POE,debt_investment_year,debt_investment_amount,number_of_lenders,bank_of_china,china_development_bank,export_import_bank_of_china,industrial_and_commercial_bank_of_china,china_construction_bank,bank_of_communications,agricultural_bank_of_china,china_citic_bank_corp,china_merchants_bank,china_minsheng_banking_corp,china_zheshang_bank,china_everbright_bank,silk_road_fund,china_co-financing_fund_for_latin_america_and_the_caribbean,compid,unit_id,location_id.x,gppd_id,fdi_id,rma_id,bu_id,sais_id,iad_id,r_id,ij_id,cgp_id,RE/Fossil
BGD2021004,POWERGEN KODDA,Bangladesh,BGD,Y,Asia,Southern Asia,Dhaka,Kodda - Gazipur Dist,150,2015,oil ,,,N,Debt,N,N,N,,132,,,,,,,,,2013,132,,,,132,,,,,,,,,,,,1049957,1239923,1089786,,,,123,,,,,BD.005.1; BD.005.2,Fossil
BGD2021005,KUSHIARA,Bangladesh,BGD,Y,Asia,Southern Asia,Sylhet,Moinpur - Fenchuganj,163,2018,gas,,,N,Equity,,,,,,Shenzhen Nanshan Power Co Ltd,,,,Greenfield,,Shenzhen Nanshan Power Co Ltd,POE,,,,,,,,,,,,,,,,,,1044612,1245007; 1250836,1092919,,,,,,,,,BD.F.004.1; BD.F.004.2,Fossil
BGD2021006,MEGHNAGHAT PENDEKAR,Bangladesh,BGD,Y,Asia,Southern Asia,Dhaka,Meghnaghat - Narayanganj Dist,450,2002,gas,23.6112,90.6007,N,Equity,,,,,,China General Nuclear Power Corp,,,,M&A,,China General Nuclear Power Corp,SOE,,,,,,,,,,,,,,,,,,1034506,1132220; 1172082; 1172083,1010729,WRI1029236,,,,,,,36019,BD.F.002.1; BD.F.002.2; BD.F.002.3,Fossil
BGD2021008,PAYRA PATUAKHALI,Bangladesh,BGD,Y,Asia,Southern Asia,Barisal,Kalapara Upazila - Patuakhali Dist,1320,2020,coal,,,N,Both,N,Y,N,,1984,China General Technology Group Holding Co Ltd ,,,,Greenfield,2016,China General Technology Group Holding Co Ltd ,SOE,2017,1984,1,,,1984,,,,,,,,,,,,1050160,1259334; 1259335,1101746,,375780,,196,,,154085199423,,BD.007.1; BD.007.2,Fossil
BGD2021009,RPCL Patuakhali Coal Plant,Bangladesh,BGD,Y,Asia,Southern Asia,Barisal,Patuakhali,1320,2024,coal,,,N,Equity,,,,,,Norinco International Cooperation Ltd,,,,Greenfield,2018,China North Industries Group Corp Ltd,SOE,,,,,,,,,,,,,,,,,,,,,,472900,,,,,,,BD.F.014.1; BD.F.014.2,Fossil
BGD2022010,ALAM BANSHKHALI,Bangladesh,BGD,Y,Asia,Southern Asia,Chittagong,Banshkhali Upazila - Chittagong Dist,1320,2023,coal,,,N,Both,,N,N,N,2069.5,Shangdong Century Electric Power Development Co Ltd,330.5,,,Greenfield,2017,State Power Investment Corp Ltd,SOE,2017,1739,,,,1739,,,,,,,,,,,,1060523,1256440;1257243,1100071,,,,,,,,40997,BD.F.011.1; BD.F.011.2,Fossil
BGD2022011,Khottar Char ,Bangladesh,BGD,Y,Asia,Southern Asia,Barisal,Taltoli Upazila - Barguna Dist,350,2023,coal,,,N,Both,,Y,,,285,Power Construction Corporation of China,,,,Greenfield,2021,Power Construction Corporation of China,SOE,2021,285,3,142.5,,142.5,,,,,,,,,,,,1057128,1297112,1127284,,,,,,,154087256037,56690,BD.F.012.1; BD.F.012.2,Fossil
BGD2022012,Sutiakhali ,Bangladesh,BGD,Y,Asia,Southern Asia,,,50,,solar pv,,,N,Equity,,,,,,China Huadian Corporation Ltd,,,,Greenfield,2019,China Huadian Corporation Ltd,SOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,48344,,RE
BGD2022013,SUTIAKHALI SOLAR,Bangladesh,BGD,Y,Asia,Southern Asia,Mymensingh,Sutiakhali,50,2020,solar pv,,,N,Equity,,,,,,China Huadian Corporation Ltd,,,,M&A,2021,China Huadian Corporation Ltd,SOE,,,,,,,,,,,,,,,,,,1057036,1296737,1127043,,,,,,,,58146,,RE
BGD2023014,BHOLA BPDB,Bangladesh,BGD,Y,Asia,Southern Asia,Barisal,Bhola Dist,220,,gas,,,N,debt,,N,N,,16,,,,,,,,,2022,16,,,,,,,16,,,,,,,,,1000598,1236387,1010715,,,,,,,,61806,,Fossil
